Volatility 3 Framework 2.7.0

Offset	Name	Size
0x3da4e8c0	\Windows\Fonts\StaticCache.dat	216
0x3da4ee60	\Windows\Fonts\StaticCache.dat	216
0x3da4f2f0	\Windows\System32\dispci.dll	216
0x3da4f750	\Windows\System32\newdev.dll	216
0x3da4fac0	\Windows\SysWOW64\sfc_os.dll	216
0x3da505e0	\Windows\System32\scrrun.dll	216
0x3da50830	\Windows\Registration\R000000000006.clb	216
0x3da50d10	\Windows\System32\C_1254.NLS	216
0x3da50e60	\Windows\System32\wpd_ci.dll	216
0x3da519c0	\Windows\System32\mlang.dll	216
0x3da526b0	\Windows\System32\mfcsubs.dll	216
0x3da52f20	\Windows\System32\shgina.dll	216
0x3da53600	\Windows\Registration\R000000000006.clb	216
0x3da53750	\srvsvc	216
0x3da53ac0	\Windows\System32\tzres.dll	216
0x3da545c0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Firewall with Advanced Security.lnk	216
0x3da562f0	\Program Files\IDA Freeware 8.2\ida64.dll	216
0x3da56d00	\Windows\SysWOW64\dwmapi.dll	216
0x3da57b10	\Windows\System32\catsrvut.dll	216
0x3da58910	\Windows\System32\powertracker.dll	216
0x3da58a60	\Windows\System32\catsrv.dll	216
0x3da5bc20	\ProgramData\Microsoft\Search\Data\Applications\Windows\MSStmp.log	216
0x3da68950	\Windows\System32\bitsperf.dll	216
0x3da68d10	\Windows\Temp\2342.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_1024.db	216
0x3da6a6c0	\Windows\SysWOW64\config\systemprofile\AppData\Local\Microsoft\Windows\Temporary Internet Files\counters.dat	216
0x3da6b070	\Endpoint	216
0x3da6b400	\Endpoint	216
0x3da6b830	\Users\Analyst\AppData\Roaming\Microsoft\Windows\Recent\desktop.ini	216
0x3da6c070	\Endpoint	216
0x3da6cf20	\Windows\SysWOW64\ntshrui.dll	216
0x3da6f070	\Windows\System32\stobject.dll	216
0x3da6f1c0	\Windows\System32\dimsjob.dll	216
0x3dc064d0	\Windows\System32\sysmain.dll	216
0x3dc0aea0	\Windows\System32	216
0x3dc0c6f0	\Users\Analyst\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned	216
0x3dc0d6f0	\Windows\System32\trkwks.dll	216
0x3dc0e630	\Windows\System32	216
0x3dc0f170	\Windows\System32\api-ms-win-crt-stdio-l1-1-0.dll	216
0x3dc0f5e0	\Windows\System32\api-ms-win-crt-runtime-l1-1-0.dll	216
0x3dc0fa10	\Windows\System32\vcruntime140.dll	216
0x3dc0fbf0	\Windows\System32\ucrtbase.dll	216
0x3dc0fd40	\Windows\System32\api-ms-win-core-file-l2-1-0.dll	216
0x3dc0fe90	\Windows\System32\api-ms-win-core-localization-l1-2-0.dll	216
0x3dc10580	\Windows\System32\api-ms-win-core-processthreads-l1-1-1.dll	216
0x3dc108a0	\Windows\System32\api-ms-win-core-synch-l1-2-0.dll	216
0x3dc10f20	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x3dc11070	\Windows\System32\api-ms-win-crt-heap-l1-1-0.dll	216
0x3dc111d0	\Program Files\VMware\VMware Tools\VMware VGAuth\pcre.dll	216
0x3dc11f20	\Windows\System32\api-ms-win-core-file-l1-2-0.dll	216
0x3dc12070	\Program Files\VMware\VMware Tools\VMware VGAuth\glib-2.0.dll	216
0x3dc12680	\Windows\System32\api-ms-win-crt-utility-l1-1-0.dll	216
0x3dc12b30	\Windows\System32\api-ms-win-crt-locale-l1-1-0.dll	216
0x3dc13760	\Windows\System32\api-ms-win-crt-environment-l1-1-0.dll	216
0x3dc13b60	\Program Files\VMware\VMware Tools\VMware VGAuth\intl.dll	216
0x3dc13ce0	\Program Files\VMware\VMware Tools\VMware VGAuth\libxmlsec-openssl.dll	216
0x3dc14070	\Windows\System32\api-ms-win-crt-time-l1-1-0.dll	216
0x3dc142e0	\Windows\System32\api-ms-win-crt-process-l1-1-0.dll	216
0x3dc146d0	\Program Files\VMware\VMware Tools\VMware VGAuth\libcrypto-1_1-x64.dll	216
0x3dc14a00	\Program Files\VMware\VMware Tools\VMware VGAuth\libssl-1_1-x64.dll	216
0x3dc14b50	\Program Files\VMware\VMware Tools\VMware VGAuth\libxml2.dll	216
0x3dc14f20	\Windows\System32\api-ms-win-crt-filesystem-l1-1-0.dll	216
0x3dc15bb0	\Program Files\VMware\VMware Tools\VMware VGAuth\libxmlsec.dll	216
0x3dc15d00	\Windows\System32\dbghelp.dll	216
0x3dc16680	\$Directory	216
0x3dc16f20	\Windows\System32\wsock32.dll	216
0x3dc17dd0	\Windows\System32\PhotoMetadataHandler.dll	216
0x3dc18c00	\ProgramData\VMware\VMware VGAuth\logfile.txt.0	216
0x3dc213e0	\$Extend\$ObjId	216
0x3dc23a50	\trkwks	216
0x3dc23cf0	\trkwks	216
0x3dc24070	\Windows\System32\vm3dservice.exe	216
0x3dc24f20	\trkwks	216
0x3dc25070	\Windows\System32\vsocklib.dll	216
0x3dc284b0	\Windows\System32\winevt\Logs\Microsoft-Windows-WindowsBackup%4ActionCenter.evtx	216
0x3dc297a0	\$Directory	216
0x3dc2b070	\$Directory	216
0x3dc2b460	\Windows\Web\Wallpaper\Scenes\Desktop.ini	216
0x3dc2b7f0	\Program Files\VMware\VMware Tools\vmtoolsd.exe	216
0x3dc2d220	\System Volume Information\tracking.log	216
0x3dc2e440	\Windows\Temp\vmware-vmsvc-SYSTEM.log	216
0x3dc2e590	\Windows\System32\wfp\wfpdiag.etl	216
0x3dc30070	\Program Files\VMware\VMware Tools\pcre.dll	216
0x3dc30250	\Program Files\VMware\VMware Tools\glib-2.0.dll	216
0x3dc30920	\Program Files\VMware\VMware Tools\vmtools.dll	216
0x3dc30d10	\Program Files\VMware\VMware Tools\gobject-2.0.dll	216
0x3dc30e60	\Program Files\VMware\VMware Tools\intl.dll	216
0x3dc34700	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x3dc36a00	\Windows\SysWOW64\samcli.dll	216
0x3dc3fdd0	\Windows\System32\AuxiliaryDisplayClassInstaller.dll	216
0x3dc3ff20	\Windows\Resources\Ease of Access Themes\basic.theme	216
0x3dc41f20	\$Directory	216
0x3dc42070	\Windows\System32\wbemcomn2.dll	216
0x3dc42320	\Windows\Resources\Ease of Access Themes\hc2.theme	216
0x3dc45590	\vgauth-service	216
0x3dc48330	\$Directory	216
0x3dc4a720	\	216
0x3dc4b780	\Windows\System32\cmd.exe	216
0x3dc562e0	\Windows\System32\wbem\WMIsvc.dll	216
0x3dc58070	\Windows\System32\wdscore.dll	216
0x3dc5a650	\Windows\System32\wbem\MOF	216
0x3dc5b5d0	\Windows\System32\iphlpsvc.dll	216
0x3dc5c890	\Windows\System32\sqmapi.dll	216
0x3dc5de80	\Windows\System32\srvsvc.dll	216
0x3dc5ea50	\Windows\System32\browser.dll	216
0x3dc600f0	\Windows\System32\wbem\WmiDcPrv.dll	216
0x3dc604f0	\Windows\System32\resutils.dll	216
0x3dc64600	\Windows\System32\wbem\fastprox.dll	216
0x3dc659e0	\Windows\System32\ntdsapi.dll	216
0x3dc65d60	\Windows\System32\wbem\wbemprox.dll	216
0x3dc66070	\Windows\System32\httpapi.dll	216
0x3dc6a070	\Windows\System32\sscore.dll	216
0x3dc6ac20	\Windows\System32\clusapi.dll	216
0x3dc6b360	\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp\MpCmdRun.log	216
0x3dc6bc80	\$Directory	216
0x3dc6cf20	\Windows\SysWOW64\api-ms-win-downlevel-ole32-l1-1-0.dll	216
0x3dc6f7e0	\Windows\System32\odbc32.dll	216
0x3dc6f930	\Windows\Registration\R000000000006.clb	216
0x3dc79bb0	\Program Files\VMware\VMware Tools\suspend-vm-default.bat	216
